,CME,FBHS,ADSK,ULTA,TSCO
2020-10-01,121.69315760879975,51.33531259873265,116.73945365031541,188.28019124384534,81.52448280468656
2020-10-02,121.32151564598348,51.26939074286902,116.25240386787202,188.81198657037496,81.09919024243538
2020-10-05,122.41651218694797,51.52226325851947,115.67350315716882,187.36950522010065,81.29313291624482
2020-10-06,122.23496462080064,51.324628387519155,115.69672604179075,186.7457698651359,81.12645954018609
2020-10-07,122.67727602593358,51.286780911521106,115.72059177442988,187.93114178181924,81.90622980963907
2020-10-08,121.77975143892868,51.4564015795033,115.82499029242571,186.7976785387643,81.92158338749064
2020-10-09,120.94474717570218,51.381968460777344,116.57905905221998,185.60367337521504,82.0537083179387
2020-10-12,120.83681609766795,51.31166685873467,117.19805740799701,186.48125648013234,82.53774173103231
2020-10-13,121.23990514700557,51.19123230118013,116.58584913440183,185.7148383164997,82.44618004988936
2020-10-14,121.17510991068258,51.179761089633466,116.69453866291258,185.1403593157468,82.9670087736451
2020-10-15,121.64199593926506,51.27114621434096,119.11157488724177,185.76312955049883,82.56706486419087
2020-10-16,120.92982899920773,51.44012562279242,119.71924304671538,185.10442443833912,83.44482663221497
2020-10-19,121.4286572657308,51.18782666771931,120.23441341211185,184.73014800199485,82.42386582308976
2020-10-20,122.78078454671325,51.2279279547073,118.534482186587,185.90944388814216,82.1440114458054
2020-10-21,122.88899998881556,51.15077653495008,116.73428675937704,186.52575768001162,82.1115708839028
2020-10-22,121.85223842500915,50.939711884070995,116.33549599189726,186.2858266817389,83.80996922722544
2020-10-23,121.24282435296317,50.94126143789303,115.92796650918346,185.86872920004618,82.41541112470028
2020-10-26,122.37051281895681,50.96061957750965,116.57070604579629,188.4018386586808,82.1114261116701
2020-10-27,123.00297628899628,50.935159129455506,116.43320487271394,190.17296105305337,82.03272213508703
2020-10-28,127.04187869027659,51.20747064736134,116.3096012702038,189.72079166640592,82.15582872058631
2020-10-29,126.72582890848922,51.25592993430329,116.32062611369905,188.8776640575484,81.97735737271104
2020-10-30,126.26784367409351,51.050295303644035,116.60833274380394,189.2717501146083,81.95722052029119
2020-11-02,125.28750352080124,51.18155135084534,117.08317243172034,190.59545827666594,81.82538513430852
2020-11-03,124.3086508103266,51.129436320420325,116.45493313569584,190.71589400773072,81.79579562024182
2020-11-04,125.59800522042124,51.5817142227549,118.77961620675178,190.05251123264242,81.82661087254536
2020-11-05,125.50186630269255,51.72842161580426,118.5745075112589,189.6894992285614,81.76336277952494
2020-11-06,125.04496284489149,51.457191400626186,117.71309518598993,190.52207391713725,81.33486978578297
2020-11-09,124.94360594594158,51.5781393419106,121.08054604357162,190.83768936070095,82.52884113416614
2020-11-10,125.44380035312739,51.49760673553685,118.33193684756276,190.3446467808131,82.5767684643744
2020-11-11,123.24253014791128,51.49587571090919,119.15052344148484,185.68529295758032,81.65218349570341
2020-11-12,122.63001988807514,51.38516535579854,117.7677573564538,185.70228470906187,81.60074109568528
2020-11-13,123.120792498376,51.393865611572416,118.57553606808644,187.12962705687607,81.55580186435988
2020-11-16,122.95411538328513,51.37806448779851,117.69730924936717,185.63559983363723,82.1168598961373
2020-11-17,122.49355297523748,51.330867034126705,117.63275123723828,185.35372132947862,81.78125469718978
2020-11-18,121.97356245408177,51.27050965612644,117.4543528768607,185.83655617806602,81.72409668942481
